PostalCode,PostalCode Lat,PostalCode Long,Borough,Venue,Venue Lat,Venue Long,Venue Category
M4L,43.6689985,-79.31557159999998,East Toronto,LCBO,43.66673150624233,-79.31496605090986,Liquor Store
M4L,43.6689985,-79.31557159999998,East Toronto,British Style Fish & Chips,43.66872336908457,-79.31713935234417,Fish & Chips Shop
M4L,43.6689985,-79.31557159999998,East Toronto,Woodbine Park,43.66486036311473,-79.31510925292969,Park
M4L,43.6689985,-79.31557159999998,East Toronto,Casa di Giorgio,43.66664527559903,-79.31520351125722,Italian Restaurant
M4L,43.6689985,-79.31557159999998,East Toronto,Godspeed Brewery,43.67262030152577,-79.31922849103603,Brewery
M4L,43.6689985,-79.31557159999998,East Toronto,O Sushi,43.66668372330836,-79.3166142781831,Sushi Restaurant
M4L,43.6689985,-79.31557159999998,East Toronto,Murphy's Law,43.66731906186093,-79.31265587607287,Pub
M4L,43.6689985,-79.31557159999998,East Toronto,The Tulip Steakhouse,43.66634820248808,-79.31685400996346,Steakhouse
M4L,43.6689985,-79.31557159999998,East Toronto,Burrito Bandidos,43.66644546137557,-79.31644740429473,Burrito Place
M4L,43.6689985,-79.31557159999998,East Toronto,Pet Valu,43.66697917950893,-79.31466465565389,Pet Store
M4L,43.6689985,-79.31557159999998,East Toronto,Harvey's,43.66666258400179,-79.3150811802549,Fast Food Restaurant
M4L,43.6689985,-79.31557159999998,East Toronto,Alliance Cinemas - The Beach,43.666746976047506,-79.31468500467349,Movie Theater
M4L,43.6689985,-79.31557159999998,East Toronto,Subway,43.666238,-79.317019,Sandwich Place
M4L,43.6689985,-79.31557159999998,East Toronto,TTC Streetcar Loop,43.66645232917386,-79.31645471163147,Light Rail Station
M4L,43.6689985,-79.31557159999998,East Toronto,Pizzaiolo,43.66895319839045,-79.31168339331794,Pizza Place
M4L,43.6689985,-79.31557159999998,East Toronto,Jody's Deli,43.66894604610645,-79.31163457258732,Sandwich Place
M4L,43.6689985,-79.31557159999998,East Toronto,Supperworks,43.66773719965272,-79.310451509513,Food & Drink Shop
M4M,43.6595255,-79.340923,East Toronto,Ed's Real Scoop,43.660655832455014,-79.3420187548006,Ice Cream Shop
M4M,43.6595255,-79.340923,East Toronto,Leslieville Pumps,43.66089221309069,-79.34062599380812,Sandwich Place
M4M,43.6595255,-79.340923,East Toronto,Te Aro,43.66137281675049,-79.33857736283377,Coffee Shop
